model,params,precision,bpt,bpb,structural_bonus,energy_mJ,energy_per_token_mJ,bits_per_joule,mean_power_W
EleutherAI/pythia-70m,70426624,fp16,4.7141187566547575,0.0481603624236975,6.5625717777937425,144.504132270813,0.1411173166707158,32.622726302526075,58.34
EleutherAI/pythia-70m,70426624,int4,5.1959563582016575,0.05308290992785308,6.424501353958666,57.23851203918457,0.05589698441326618,90.77727867287307,16.02
EleutherAI/pythia-70m,70426624,int3,72.04458360439261,0.7360216057675419,-0.49592642030557954,83.11026334762573,0.08116236655041575,866.8554364104389,30.57
EleutherAI/pythia-70m,70426624,int2,37.08177097284914,0.37883465002741135,0.06762633004166929,49.08153533935547,0.047931186854839325,755.513671617268,20.01
EleutherAI/pythia-160m,162322944,fp16,3.9561403074377046,0.04041670582359312,6.756997476663543,235.76972007751465,0.2302438672631979,16.779679367380314,59.73
EleutherAI/pythia-160m,162322944,int8,3.950504779934232,0.04035913216857376,6.773904059173962,347.3988580703736,0.3392566973343492,11.371668870408223,25.03
EleutherAI/pythia-160m,162322944,int4,4.49433318401933,0.04591498987794233,6.387870425186095,181.71427488327024,0.1774553465656936,24.73296710952622,31.33
EleutherAI/pythia-160m,162322944,int2,35.864497032099074,0.3663987405432288,1.5328634809445276,102.23604440689087,0.09983988711610436,350.80090627686445,26.05
EleutherAI/pythia-410m,405334016,fp16,3.370045447076563,0.03442904570157933,6.852801444222576,529.1147947311401,0.516713666729629,6.369214167955726,67.22
EleutherAI/pythia-410m,405334016,int4,3.7588968448161664,0.0384016278979154,6.728819839146181,473.96812438964844,0.46285949647426605,7.93069544424887,45.05
EleutherAI/pythia-1b,1011781632,int8,3.085451308151201,0.03152157612310147,7.041591615588905,831.4561462402344,0.8119688928127289,3.7109008359650937,43.54
EleutherAI/pythia-1.4b,1414647808,fp16,2.9811940493369598,0.03045646350524325,7.0894935993684225,1384.2501282691958,1.3518067658878865,2.153652716698326,74.67
EleutherAI/pythia-1.4b,1414647808,int8,2.9952828680956407,0.030600397642791655,7.081040308113213,1199.4556331634521,1.1713433917611837,2.497201884988328,43.32
EleutherAI/pythia-1.4b,1414647808,int4,3.0460026156268936,0.03111856053796593,7.097946890623632,825.849142074585,0.8064933028072119,3.6883281224645263,41.66
openai-community/gpt2,124439808,fp16,4.046308747493264,0.041337884303902936,6.79081064168438,227.25988626480103,0.22193348268046975,17.804764465905542,60.95
openai-community/gpt2,124439808,int4,4.144930478804033,0.042345423266741795,6.754179712911808,196.8479037284851,0.19223428098484874,21.05651317740823,29.63
openai-community/gpt2,124439808,int3,14.889063664174381,0.15210959656115816,2.4683610465209593,154.07729148864746,0.15046610496938229,96.6337318129156,40.85
openai-community/gpt2,124439808,int2,28.357974397473686,0.28971063205743675,-2.592342651597356,102.51214981079102,0.1001095212996006,276.6303745440383,28.72
