model,eval_corpus,seed,BPT,BPSS_star,total_bits,total_tokens,total_source_chars,split_method,timestamp
syn2,syn2,42,20.866418,3.351432,10406833.970,498736,3105190,last_5pct_raw_text_disjoint,2026-04-09T22:15:13
syn2,syn4,42,38.872575,84.216540,19387152.724,498736,230206,last_5pct_raw_text_disjoint,2026-04-09T22:15:14
syn2,syn8,42,39.861841,124.771146,19880535.313,498736,159336,last_5pct_raw_text_disjoint,2026-04-09T22:15:16
syn2,syn12,42,42.491877,21192228.955088,21192228.955,498736,0,last_5pct_raw_text_disjoint,2026-04-09T22:15:18
syn4,syn2,42,24.269723,7.203705,12104184.343,498736,1680272,last_5pct_raw_text_disjoint,2026-04-09T22:15:20
syn4,syn4,42,22.819082,6.411520,11380697.846,498736,1775039,last_5pct_raw_text_disjoint,2026-04-09T22:15:23
syn4,syn8,42,30.598512,20.347467,15260579.638,498736,749999,last_5pct_raw_text_disjoint,2026-04-09T22:15:24
syn4,syn12,42,27.771510,13.697270,13850651.809,498736,1011198,last_5pct_raw_text_disjoint,2026-04-09T22:15:26
syn8,syn2,42,38.832665,19.367267,19367247.861,498736,999999,last_5pct_raw_text_disjoint,2026-04-09T22:15:29
syn8,syn4,42,38.936137,19.418872,19418853.063,498736,999999,last_5pct_raw_text_disjoint,2026-04-09T22:15:31
syn8,syn8,42,9.062760,2.259963,4519924.520,498736,1999999,last_5pct_raw_text_disjoint,2026-04-09T22:15:33
syn8,syn12,42,38.866293,24.230055,19384019.551,498736,799999,last_5pct_raw_text_disjoint,2026-04-09T22:15:35
syn12,syn2,42,31.964712,15941952.603880,15941952.604,498736,0,last_5pct_raw_text_disjoint,2026-04-09T22:15:37
syn12,syn4,42,23.569254,17.575038,11754835.558,498736,668837,last_5pct_raw_text_disjoint,2026-04-09T22:15:39
syn12,syn8,42,26.278557,32.399528,13106062.471,498736,404514,last_5pct_raw_text_disjoint,2026-04-09T22:15:41
syn12,syn12,42,17.545522,2.916862,8750583.455,498736,2999999,last_5pct_raw_text_disjoint,2026-04-09T22:15:43
