test,n_bits,seed,attention_cosine,output_mse,output_cosine,entropy_fp,entropy_quant,entropy_ratio
attention,8,42,0.9999994108160238,1.5377445e-08,0.9999532210911837,4.1588335,4.1588335,1.0
attention,8,137,0.999999417334921,1.4873944e-08,0.9999516447968988,4.158833,4.158833,1.0
attention,8,2024,0.9999994124457101,1.8154898e-08,0.9999433428353822,4.158833,4.158833,1.0
attention,6,42,0.999999249946652,2.649447e-07,0.9991728194911006,4.1588335,4.1588335,1.0
attention,6,137,0.9999992692699917,2.5004516e-07,0.9991913233837084,4.158833,4.158833,1.0
attention,6,2024,0.9999992613543385,3.441568e-07,0.9989331427802524,4.158833,4.1588335,1.0000001
attention,5,42,0.999998718914356,1.1504123e-06,0.9964432558404326,4.1588335,4.158833,0.9999999
attention,5,137,0.9999987496458768,1.0492165e-06,0.9966823984216414,4.158833,4.158832,0.99999976
attention,5,2024,0.9999987387031171,1.3299923e-06,0.9958830424160533,4.158833,4.1588326,0.9999999
attention,4,42,0.9999962057728358,5.35475e-06,0.9843739357072452,4.1588335,4.1588306,0.9999993
attention,4,137,0.9999963580329947,5.411031e-06,0.9832751234849365,4.158833,4.1588297,0.9999992
attention,4,2024,0.9999963019236233,6.370177e-06,0.9807075943365543,4.158833,4.15883,0.9999993
attention,3,42,0.9999806844252292,2.890424e-05,0.9223409147116111,4.1588335,4.1588144,0.9999954
attention,3,137,0.999981358148337,2.7311129e-05,0.9214064062143102,4.158833,4.1588154,0.99999577
attention,3,2024,0.9999808995303876,3.0808438e-05,0.9131699267050967,4.158833,4.158815,0.99999565
attention,2,42,0.9999448982512025,0.00014869492,0.4210465425111452,4.1588335,4.158869,1.0000085
attention,2,137,0.9999434674495127,0.00014013899,0.42150611526206805,4.158833,4.158865,1.0000076
attention,2,2024,0.9999438903948816,0.00014824767,0.3739837630824062,4.158833,4.158865,1.0000076
