test,n_bits,seed,hidden_dim,output_mse,output_cosine,sqnr_db,attention_cosine
block,8,42,256,5.1667445e-08,0.9999977657717994,53.04719924926758,0.999999690244979
block,8,42,512,2.1996595e-07,0.9999899480928057,46.963868141174316,0.9999996772075033
block,8,137,256,5.7144405e-08,0.9999959090112919,52.630605697631836,0.9999996767408177
block,8,137,512,2.04782e-07,0.999993688086531,47.32715606689453,0.9999996837267088
block,8,2024,256,5.2780706e-08,0.9999981306703828,52.971835136413574,0.9999996818630992
block,8,2024,512,2.4276005e-07,0.9999847493673907,46.535091400146484,0.9999996758104918
block,6,42,256,8.4774666e-07,0.9999598744735402,40.89670658111572,0.9999996865196983
block,6,42,512,3.6855192e-06,0.9998361505949883,34.72243547439575,0.9999996800014659
block,6,137,256,9.566177e-07,0.9999542027446751,40.39295673370361,0.9999996865196985
block,6,137,512,3.3837719e-06,0.9998492757364942,35.14606237411499,0.9999996776731448
block,6,2024,256,8.824907e-07,0.9999561186730694,40.73948860168457,0.9999996827944255
block,6,2024,512,4.0857294e-06,0.9998102550267725,34.27417039871216,0.9999996674286482
block,5,42,256,3.5061469e-06,0.9998301296294562,34.73106622695923,0.9999996720842215
block,5,42,512,1.5660435e-05,0.9992815116687833,28.439383506774902,0.9999996483366455
block,5,137,256,3.9219863e-06,0.9998157914370563,34.26527976989746,0.9999996781378051
block,5,137,512,1.4279649e-05,0.9993561909499526,28.892898559570312,0.9999996446113412
block,5,2024,256,3.7394916e-06,0.999822585941619,34.4684624671936,0.9999996786034819
block,5,2024,512,1.7277222e-05,0.9992119517025876,28.01212787628174,0.999999639023444
block,4,42,256,1.6951992e-05,0.9991864447632645,27.887160778045654,0.9999996511295103
block,4,42,512,7.062768e-05,0.9967874416586732,21.89767360687256,0.9999995216774249
block,4,137,256,1.877125e-05,0.9991060118995675,27.465407848358154,0.9999996413506291
block,4,137,512,6.836651e-05,0.996926927851637,22.091639041900635,0.9999995007227437
block,4,2024,256,1.8211984e-05,0.9991280888956094,27.593016624450684,0.9999996511295126
block,4,2024,512,8.251545e-05,0.9962466177360978,21.221513748168945,0.9999995291279469
block,3,42,256,9.575231e-05,0.9954462187051657,20.36787509918213,0.9999994774381873
block,3,42,512,0.00041234825,0.9815677323986303,14.234781265258789,0.9999987272641261
block,3,137,256,0.00010672951,0.9949763214172975,19.917495250701904,0.999999484888753
block,3,137,512,0.0003818226,0.9831823871003339,14.621455669403076,0.9999985759251072
block,3,2024,256,0.00010169106,0.9951691667921407,20.12376070022583,0.9999994737129216
block,3,2024,512,0.0004886008,0.9782675943383625,13.497323989868164,0.9999987621883855
block,2,42,256,0.00022781768,0.9890117236624891,16.603493690490723,0.9999991095658413
block,2,42,512,0.0008456415,0.9605552031750306,11.115560531616211,0.9999974629941513
block,2,137,256,0.0002297571,0.9889683582015855,16.587650775909424,0.9999990860499918
block,2,137,512,0.0008986732,0.9585705451761803,10.904054641723633,0.9999975423885932
block,2,2024,256,0.00022400627,0.9892407382062508,16.693986654281616,0.9999990953631974
block,2,2024,512,0.0008798152,0.9589214833390176,10.942951440811157,0.9999974639253444
